plot,class
UFR04,GAMBEL
MC04,GAMBEL MIXED CON
HC02,MIXED CON
MFR06,GAMBEL
LFR02,GAMBEL
MC01,GAMBEL
MFR07,GAMBEL
MC05,GAMBEL
LC04,GAMBEL
LFR04,GAMBEL
HC01,MIXED CON
LC07,GAMBEL
LFR01,MIXED CON
LC01,GAMBEL
HC04,GAMBEL MIXED CON
MFR01,GAMBEL
MFR03,GAMBEL
MC03,GAMBEL
LC01,MIXED CON
UC06,GAMBEL MIXED CON
UC03,MIXED CON
UC07,GAMBEL MIXED CON
UC04,MIXED CON
UFR05,MIXED CON
UC01,MIXED CON
UFR07,MIXED CON
UC05,MIXED CON
UFR06,MIXED CON
LFR06,MIXED CON
HC03,MIXED CON
HFR07,MIXED CON
HFR04,MIXED CON
HFR05,MIXED CON
MC02,MIXED CON
HFR03,MIXED CON
HFR01,MIXED CON
MFR04,MIXED CON
MC07,GAMBEL MIXED CON
LC05,GAMBEL
HC06,GAMBEL MIXED CON
HC05,MIXED CON
LFR07,GAMBEL MIXED CON
HFR06,MIXED CON
HC07,MIXED CON
MC06,GAMBEL MIXED CON
MFR02,GAMBEL MIXED CON
LFR03,MIXED CON
LC06,MIXED CON
LFR05,GAMBEL MIXED CON
LC03,MIXED CON
UFR01,MIXED CON
UC02,GAMBEL MIXED CON
UFR03,MIXED CON
UFR02,MIXED CON
HFR02,MIXED CON
