plot,code,size,count
UFR04,JUNOST,22,
UFR04,JUNOST,20,
UFR04,JUNOST,86,
UFR04,JUNOST,79,
UFR04,JUNOST,38,
UFR04,JUNOST,10,
UFR04,JUNOST,32,
UFR04,JUNOST,10,
UFR04,JUNOST,61,
UFR04,JUNOST,32,
UFR04,JUNOST,100,
UFR04,JUNOST,35,
UFR04,JUNOST,12,
UFR04,JUNOST,104,
UFR04,JUNOST,31,
UFR04,JUNOST,16,
MC04,NA,0,
HC02,NA,0,
MFR06,NA,0,
LFR02,NA,0,
MC01,NA,0,
MFR07,NA,0,
MC05,NA,0,
LC04,NA,0,
LFR04,NA,0,
HC01,NA,0,
LC07,NA,0,
LFR01,ABICON,32,
LFR01,ABICON,43,
LFR01,ABICON,45,
LFR01,ABICON,89,
LFR01,ABICON,39,
LC02,NA,0,
HC04,NA,0,
MFR01,NA,0,
MFR03,NA,0,
MC03,NA,0,
LC01,NA,0,
UC06,PSEMEN,10,
UC06,PSEMEN,46,
UC06,PSEMEN,44,
UC06,PSEMEN,27,
UC06,PSEMEN,29,
UC06,PSEMEN,37,
UC06,PSEMEN,22,
UC03,PSEMEN,28,
UC03,PSEMEN,99,
UC03,PSEMEN,65,
UC03,PSEMEN,135,
UC03,PSEMEN,64,
UC03,PSEMEN,57,
UC03,PSEMEN,59,
UC03,PSEMEN,56,
UC03,PSEMEN,62,
UC03,PSEMEN,112,
UC03,PSEMEN,49,
UC03,PSEMEN,62,
UC03,PSEMEN,75,
UC03,PSEMEN,74,
UC03,PSEMEN,19,
UC03,PSEMEN,28,
UC03,PSEMEN,75,
UC03,PSEMEN,124,
UC03,PSEMEN,7,
UC03,PSEMEN,19,
UC03,PSEMEN,26,
UC03,PSEMEN,47,
UC03,PSEMEN,47,
UC03,PSEMEN,46,
UC03,PSEMEN,51,
UC03,PSEMEN,75,
UC03,PSEMEN,49,
UC03,PSEMEN,45,
UC03,PSEMEN,52,
UC03,PSEMEN,29,
UC03,PSEMEN,39,
UC03,PSEMEN,31,
UC03,PSEMEN,56,
UC03,PSEMEN,37,
UC03,PSEMEN,71,
UC03,PSEMEN,72,
UC03,PSEMEN,100,
UC03,PSEMEN,11,
UC03,PSEMEN,122,
UC03,PSEMEN,63,
UC03,PSEMEN,134,
UC03,PSEMEN,35,
UC03,PSEMEN,34,
UC03,PSEMEN,56,
UC03,PSEMEN,31,
UC03,PSEMEN,5,
UC07,PINPON,6,
UC07,PINPON,6,
UC07,PINPON,6,
UC07,PINPON,6,
UC07,PINPON,5,
UC07,PINPON,5,
UC07,PINPON,72,
UC07,PINPON,7,
UC04,PSEMEN,69,
UC04,PSEMEN,19,
UC04,PSEMEN,122,
